Zaandam,ZD002,20,1692690585,OV_FIETS,Yes
Beilen,bl001,20,1692690585,OV_FIETS,Yes
Den Dolder,dld001,0,1692690585,OV_FIETS,Yes
's-Hertogenbosch Oost,Hto001,2,1692690585,OV_FIETS,Yes
Assen,asn001,75,1692690585,OV_FIETS,Yes
Vlissingen,vs001,13,1692690585,OV_FIETS,Yes
Enschede,es003,92,1692690585,OV_FIETS,Yes
Helmond,hm001,9,1692690585,OV_FIETS,Yes
Amsterdam Lelyplein,asdl001,0,1692690585,OV_FIETS,No
Sliedrecht,sdt001,1,1692690585,OV_FIETS,Yes
Voorschoten,vst001,2,1692690585,OV_FIETS,Yes
Diemen Zuid,dmnz001,2,1692690585,OV_FIETS,Yes
Appingedam,Apg001,3,1692690585,OV_FIETS,Yes
Rotterdam Lombardijen,rlb001,0,1692690585,OV_FIETS,Yes
Reuver,rv001,6,1692690585,OV_FIETS,Yes
Utrecht Rijnsweerd,ut903,13,1692690585,OV_FIETS,Yes
Wijchen,wc001,0,1692690585,OV_FIETS,Yes
Elst,est001,0,1692690585,OV_FIETS,Yes
Apeldoorn,apd001,109,1692690585,OV_FIETS,Yes
Hengelo,hgl002,6,1692690585,OV_FIETS,Yes
Rijswijk,rsw002,22,1692690585,OV_FIETS,Yes
Middelburg,mdb002,6,1692690585,OV_FIETS,Yes
Ede-Wageningen Zuidplein,ed002,6,1692690585,OV_FIETS,Yes
Utrecht Terwijde,utt001,3,1692692134,OV_FIETS,Yes
Brummen,bmn001,5,1692692134,OV_FIETS,Yes
Ermelo,eml001,3,1692692134,OV_FIETS,Unknown
Ravenstein,Rvs001,8,1692692134,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,0,1692692134,OV_FIETS,Yes
Lochem,lc001,5,1692692134,OV_FIETS,Yes
Bergen op Zoom,bgn002,3,1692692134,OV_FIETS,Yes
Oldenzaal,odz001,0,1692692134,OV_FIETS,Yes
Cuijk,ck001,15,1692692134,OV_FIETS,Yes
Veenendaal-De klomp,klp001,0,1692692134,OV_FIETS,Yes
Vroomshoop,vhp001,0,1692692134,OV_FIETS,Yes
Best,bet001,2,1692692134,OV_FIETS,Yes
Winterswijk,ww001,3,1692692134,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,2,1692692134,OV_FIETS,Yes
Boxtel - Kluis,btl004,1,1692692134,OV_FIETS,Yes
Zuidhorn,Zh001,8,1692692134,OV_FIETS,Yes
Houten Castellum,htnc001,35,1692692134,OV_FIETS,Yes
Voorhout,vh001,3,1692692134,OV_FIETS,Yes
Tilburg Reeshof,tbr001,0,1692692134,OV_FIETS,Yes
Harderwijk,hd001,7,1692692134,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,14,1692692134,OV_FIETS,Yes
Den Haag HS,gv001,0,1692692134,OV_FIETS,Yes
Heerhugowaard,hwd003,17,1692692134,OV_FIETS,Yes
