"description","locationCode","lat","lon","postalCode","houseNumber","city"
"Winschoten","ws001","53.13925","7.03468","9671 AN","22","Winschoten"
"Veghel","Btl003","51.614573","5.545731","6461 KS","2","Veghel"
"Naarden-Bussum","ndb002","52.28132","5.15793","1404 AM","1A","Bussum"
"Naarden-Bussum","ndb003","52.28132","5.15793","1404 AM","1A","Bussum"
"Woerden","wd001","52.08536","4.89283","3445 AD","10","Woerden"
"s-Hertogenbosch","ht001","51.69065","5.29352","5211 BJ","77","'s-Hertogenbosch"
"Baarn","brn001","52.20787","5.28219","3743 KM","68","Baarn"
"Overveen","ovn001","52.39079","4.60765","2051 EE","3","Overveen"
"Waalwijk","ht002","51.686951","5.071715",,"0","Waalwijk"
"Maarssen","mas003","52.135651","5.03139","3605 MA","2","Maarssen"
"Kerkrade Centrum","krd001","50.860941","6.057447","6461 EJ","70","Kerkrade"
"Venray","vry001","51.52736","6.01351","5807 AB","213","Venray"
"Eindhoven Strijp-S","ehb001","51.447629","5.451376","5651GW",,"Eindhoven"
"Veenendaal West","vndw001","52.028551","5.533195","3905 SH","15","Veenendaal west"
"Aalten","atn001","51.92161","6.57929",,,
"Haarlem Fiets Inn","hlm002","52.38763","4.63832","2011 LR","7","Haarlem"
"Bilthoven","bhv002","52.12949","5.20514","3723 HH","302","Bilthoven"
"Purmerend","pmr001","52.50387","4.95413","1441  EJ","1","Purmerend"
"Bilthoven","bhv001","52.12949","5.20514","3723 HH","302","Bilthoven"
"Hardenberg","hdb001","52.57456","6.62907","7772 CJ","28","Hardenberg"
"Beverwijk","bv002","52.47875","4.65448","1948 LC","48","Beverwijk"
"Boxtel","btl001","51.58515","5.318988","5281 GH","18","Boxtel"
"Hoogezand Sappemeer","Hgz001","53.160117","6.771075","9601 BK","2","Hoogezand"
"Heerhugowaard","hwd002","52.66929","4.82352","1704 WD","9","Heerhugowaard"
"Amersfoort Vathorst","avat001","52.19261","5.43362","3829 MJ","4","Hooglanderveen"
"Roermond","rm001","51.192425","5.99353","6041 GN","7A","Roermond"
"Krommenie-Assendelft","kma001","52.49511","4.75479","1561 KN","62","Assendelft"
"Heerlen","hrl001","50.89033","5.97444","6411 NA","2b","Heerlen"
"Schiphol","shl001","52.30963","4.76206","1118 AX","29","Luchthaven Schiphol"
"Rosmalen","rs001","51.715439","5.369477","5241 GN","3","Rosmalen"
"Utrecht P+R Science Park (De Uithof) ZS","ut908","52.08481","5.17314","3584 CT",,"Utrecht P+R Science Park"
"Vianen OV-fiets Carrousel","ut905","51.9891","5.08497","4132 GX","30","Vianen"
"Utrecht P+R Papendorp","ut904","52.07164","5.07869","3528 BL","998","Utrecht"
"Utrecht Stadhuis","ut003","52.09224","5.11957","3512 GG","9bis","Utrecht"
"P + R Utrecht Science Park (De Uithof)","ut906","52.08481","5.17314","3584 CT",,"Utrecht"
"Hengelo","hgl001","52.26239","6.7936","7551 CN","1","Hengelo"
"Arnhem Centrum","ah001","51.9835","5.90126","6811 KL","166","Arnhem"
"Utrecht Rijnsweerd","ut903","52.092506","5.152792","3584 BA",,"Utrecht"
"Alkmaar","amr001","52.63753","4.73985","1815 CB","43","Alkmaar"
"Vlaardingen Centrum","vdg001","51.903538","4.345118","3131 AJ",,"Vlaardingen"
"Rotterdam Centraal","rtd001","51.923421","4.469738","3013 AK","298","Rotterdam"
"Tilburg West Universiteit","tbu001","51.565278","5.052372","5037 CD","41","Tilburg"
"Sittard","std002","51.00126","5.85969","6131 AS","2A","Sittard"
"Leiden Centraal, Centrumzijde","ledn002","52.16557","4.48259","2313 AJ","3S","Leiden"
"Gouda Goverwelle","gdg001","52.015","4.74286","2807 PA","1","Gouda"
"Den Haag Laan van NOI","laa001","52.078837","4.34196","2593 BS","393","Den Haag"
"Alkmaar Noord","amrn002","52.64396","4.76371","1824 DX","112","Alkmaar"
"Zandvoort","zvt001","52.375859","4.531626","2041 AA",,"Zandvoort"
"Uitgeest","utg001","52.52228","4.70232","1911 MV","8","Uitgeest"
"Alkmaar Noord","amrn003","52.64396","4.76371","1824 DX","112","Alkmaar"
"Den Helder","hdr003","52.95674","4.76071","1782 BL","176","Den Helder"
"Nootdorp","gvc901","52.04758","4.415059","2631 PM","3","Nootdorp"
"Houten","htn001","52.03487","5.16663","3995 DX","80","Houten"
"Steenwijk","swk002","52.79051","6.11712","8331 GM","2","Steenwijk"
"Lage Zwaluwe","Zlw001","51.690342","4.662253","4765 SK","11","Zevenbergschen Hoek"
"Hoogeveen","hgv002","52.73309","6.47358","7901 AA","1A","Hoogeveen"
"Zutphen","zp001","52.14475","6.19585","7201 ML","12","Zutphen"
"Zwolle Hanzeland","zl003","52.50499","6.09106","8017 JZ","30","Zwolle"
"Breda Centrum","Bd003","51.59502","4.779437","4811 BN","16","Breda"
"Den Haag Mariahoeve","gvm001","52.09094","4.36933","2591 TV","20","'s-Gravenhage"
"Zaltbommel","zbm001","51.80812","5.26288","5301 GL","73","Zaltbommel"
"Barneveld Noord","bnn001","52.16085","5.59905","3771",,"Barneveld"
"Almere Centrum Landdrostdreef","alm001","52.37453","5.22016","1315KM","2","Almere"
"Zaltbommel","zbm002","51.80812","5.26288","5301 GL","73","Zaltbommel"
"Schiedam","sdm001","51.921491","4.40774","3112 HJ","8","Schiedam"
"Zoetermeer Centrum West","ztm002","52.06024","4.48739","2711 JA","40","Zoetermeer"
"Borne","bn001","52.298408","6.749042","7622 NB","2","Borne"
"Zevenbergen","Zvb001","51.641976","4.609567","4761 BG","1","Zevenbergen"
"Driehuis","drh001","52.44301","4.63908","1985 BD","46","Driehuis"
"Helmond Brouwhuis","hmbh001","51.47057","5.70168","5709","185-201","Helmond"
"Amsterdam Centraal Stationsplein","asd010","52.378482","4.897678",,,
"Nijmegen Heyendaal","nmh001","51.82674","5.86735","6225 EG","13","Nijmegen"
"Barendrecht","brd002","51.853419","4.554166","2991 RN","1","Barendrecht"
"Rheden","rh001","52.00973","6.03041","6991 AS","5","Rheden"
"Barendrecht","brd001","51.853419","4.554166","2991 RN","1","Barendrecht"
"Bergen op Zoom","bgn002","51.49517","4.29575","4611 BK","2","Bergen op Zoom"
"Breda Belcrum","bd002","51.596338","4.77892","4811 BN","53A","Breda"
"Amsterdam Centraal IJzijde","asd008","52.380095","4.898784","1012 AA","20","Amsterdam"
"Amsterdam Noord","asd009","52.402374","4.931019","1022 LB","23","Amsterdam"
"Obdam","obd001","52.67812","4.90919","1713 HM","3","Obdam"
"Tiel","tl003","51.88973","5.42399","4001 CP","4","Tiel"
"Tiel","tl002","51.88973","5.42399","4001 CP","4","Tiel"
"Amsterdam Centraal Oost","asd002","52.37785","4.902062","1012 AB","5","Amsterdam"
"Santpoort Noord","sptn001","52.434","4.63195","2071 TP","1","Santpoort-Noord"
"Oss West","ow001","51.758646","5.507076","4345 WZ","139","Oss"
"Tilburg Zuid","tb003","51.5602","5.086418","5038 BA","17","Tilburg"
"Groningen","gn001","53.21155","6.56701","9726 AC","13","Groningen"
"Groningen P+R Hoogkerk","gn002","53.197953","6.512867","9744 AA",,"Groningen"
"Groningen P+R Kardinge","gn003","53.238277","6.59382","9735 AA",,"Groningen"
"Utrecht Lunetten","utl001","52.06564","5.14323","3524 ZH","20","Utrecht"
"Enschede","es002","52.22169","6.88984","7511 JD","33","Enschede"
"OV-fiets - Maastricht","mt001","50.84962","5.70491","6221 BT","5","Maastricht"
"OV-ebike Maastricht","mt003","50.84962","5.70495","6221 BT","5","Maastricht"
"Putten","pt001","52.265248","5.575806","3881 AC","127","Putten"
"Houten Castellum","htnc001","52.01759","5.18015","3995 ZJ","48","Houten"
"Heerenveen","hr001","52.96098","5.91617","8441 BH","15","Heerenveen"
"Kampen","kpn002","52.56016","5.92167","8267 AB","1","Kampen"
"Veendam","Vdm001","53.104299","6.884732","9641 KG","15A","Veendam"
"Didam","did001","51.93351","6.13221","6942 EG","2","Didam"
"Gouda","gd001","52.01803","4.705","2803 AK","2","Gouda"
"Heemstede-Aerdenhout","had002","52.35899","4.60547","2106 AG","10","Heemstede"
"Rotterdam Fietspunt Wilhelminakade Prinsendam","Rtd003","51.907233","4.490302","3072 AR","32","Rotterdam"
"Rotterdam Fietspunt Marconiplein","Rtd004","51.913304","4.432742","3027 AX",,"Rotterdam"
"Enkhuizen","ekz001","52.69996","5.28904","1601 EN","3","Enkhuizen"
"Hellendoorn/Nijverdal OV-fiets Carrousel","nvd001","52.36599","6.469563","7443 CA",,"Hellendoorn"
